dimension,group,cells,median,mean,p95,top_5pct_fraction,top_1pct_fraction,top_5pct_enrichment,top_1pct_enrichment
cell_type,vestibular dark cell,49,0.17091809,0.18143378,0.3047599077224731,0.0,0.0,0.0,0.0
cell_type,retinal ganglion cell,1,0.18129024,0.18129024,0.18129023909568787,0.0,0.0,0.0,0.0
cell_type,connective tissue cell,152,0.17265849,0.18274583,0.2897996678948402,0.0,0.0,0.0,0.0
cell_type,myometrial cell,917,0.2635813,0.26468214,0.38540665507316585,0.014176663031624863,0.0,0.28353326063249723,0.0
cell_type,interstitial cell of Cajal,71,0.21750073,0.24196722,0.41646797955036163,0.04225352112676056,0.0,0.8450704225352113,0.0
cell_type,enteroendocrine cell,25,0.42952654,0.424235,0.5238910794258117,0.52,0.2,10.4,20.0
cell_type,neuron,82,0.22673124,0.23223326,0.37813075184822087,0.0,0.0,0.0,0.0
cell_type,enterocyte of epithelium proper of jejunum,405,0.23912014,0.24164926,0.3629617810249328,0.0049382716049382715,0.0,0.09876543209876543,0.0
region,Lymph_Node,129062,0.23480865,0.23749787,0.4045271873474121,0.032573491810137765,0.005702685530985108,0.6514698362027552,0.5702685530985108
region,Thymus,42729,0.24473767,0.24625188,0.4011598467826843,0.028692457113435838,0.003814739404151747,0.5738491422687167,0.3814739404151747
region,Liver,22214,0.23538032,0.24118197,0.4496184766292571,0.0728819663275412,0.01598091293778698,1.4576393265508238,1.598091293778698
region,Heart,25832,0.2847194,0.2820472,0.4573692515492437,0.08803034995354599,0.02001393620315887,1.7606069990709197,2.001393620315887
region,Lung,65847,0.24008961,0.2436524,0.39042311310768124,0.024055765638525673,0.0029462238218901393,0.48111531277051345,0.29462238218901393
region,Muscle,46772,0.2470319,0.24856618,0.42098101675510385,0.045262122637475415,0.008038997690926196,0.9052424527495082,0.8038997690926195
region,Spleen,70448,0.29220474,0.29539597,0.49837893992662424,0.14688848512377925,0.04640302066772655,2.9377697024755847,4.640302066772655
region,Eye,34273,0.2138021,0.21311344,0.3702796816825866,0.015726665305050624,0.0023633764187552886,0.3145333061010125,0.23633764187552886
region,Bone_Marrow,27112,0.2736627,0.26501065,0.4562891334295271,0.09217320743582177,0.015122455001475361,1.8434641487164354,1.5122455001475361
region,Uterus,22029,0.26602697,0.2677063,0.42206603288650507,0.046121022288801126,0.00590131190703164,0.9224204457760224,0.590131190703164
region,Fat,94415,0.24542837,0.25388506,0.43694787919521333,0.060986072128369435,0.012159084891171953,1.2197214425673886,1.2159084891171952
region,Ovary,48951,0.1886761,0.19711512,0.3473057895898819,0.00882515168229454,0.0010827153684296541,0.1765030336458908,0.10827153684296541
region,Vasculature,42650,0.27684593,0.274979,0.44153017848730086,0.06731535756154748,0.011746776084407972,1.3463071512309495,1.1746776084407973
region,Tongue,38754,0.18844947,0.19978529,0.37024267911911,0.016462816741497653,0.0031738659235175724,0.32925633482995303,0.31738659235175726
region,Mammary,30936,0.24190323,0.24395092,0.3928328901529312,0.02230411171450737,0.0026183087664856477,0.44608223429014743,0.26183087664856475
region,Trachea,22671,0.23350587,0.23968565,0.41409701108932495,0.04128622469233823,0.009174716598297385,0.8257244938467646,0.9174716598297384
region,Bladder,66385,0.27343792,0.2727955,0.42582879662513723,0.049785343074489716,0.008405513293665737,0.9957068614897943,0.8405513293665737
region,Prostate,21030,0.21405822,0.21980363,0.3881933987140654,0.021873514027579647,0.002757964812173086,0.4374702805515929,0.2757964812173086
region,Blood,85233,0.27739587,0.25800988,0.44659549593925474,0.07927680593197471,0.010688348409653539,1.585536118639494,1.0688348409653539
region,Salivary_Gland,39821,0.23342699,0.2318051,0.4092029631137848,0.03791969061550438,0.008236859948268501,0.7583938123100876,0.8236859948268501
region,Skin,17786,0.23047999,0.23211896,0.39065394550561905,0.023782750477903968,0.0029798718092882044,0.4756550095580793,0.2979871809288204
