dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,399649,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.2968665,15.757863,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399672,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,8.452548,14.143693,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399685,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.4755445,15.7211685,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399698,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4129864,15.926021,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399705,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3692266,15.908686,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399729,vascular associated smooth muscle cell,contractile cell,mammary gland,Mammary,,,,,8.70219,13.4254,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399762,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.758571,14.325127,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399815,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.513926,14.2773,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399864,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,-0.04623451,15.391553,ADORA2B,0.0,0.0,1.5163475,0.0
Tabula Sapiens,399873,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.2950256,15.870949,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399902,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.348808,15.8886175,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399915,"CD4-positive, alpha-beta T cell",t cell,mammary gland,Mammary,,,,,8.850002,20.235775,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399942,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3872305,15.91503,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399965,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3689154,15.814446,none,0.0,0.0,0.0,0.0
Tabula Sapiens,399997,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.07914081,15.307596,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400003,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,8.130274,14.201808,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400024,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.76066,14.446815,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400078,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.6034794,14.334683,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400128,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.14331761,15.191016,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400132,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.48267362,15.79783,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400144,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.34485224,15.639245,none,0.39315575,0.0,0.39315575,0.0
Tabula Sapiens,400183,endothelial cell,endothelial cell,mammary gland,Mammary,,,,,11.65404,13.805749,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400188,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.593307,14.318035,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400189,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3495959,15.888304,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400235,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.8992496,14.195118,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400257,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.9945164,14.163461,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400310,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4186988,15.9616165,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400334,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3715671,16.088373,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400374,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4929267,16.064066,none,0.0,0.0,0.33258665,0.0
Tabula Sapiens,400431,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3000202,15.867327,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400457,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.17867997,15.22555,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400481,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.434433,15.884575,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400506,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.5386996,14.340787,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400542,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.8524823,14.245852,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400554,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.4154292,15.728174,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400562,basal cell,epithelial cell,mammary gland,Mammary,,,,,0.5330833,15.946842,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400571,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.8159733,14.338974,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400637,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.6369066,14.312331,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400730,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.28543788,15.4204,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400801,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.7223334,14.187288,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400804,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.7154818,14.436145,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400815,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.7145886,14.179917,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400864,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.23726213,15.663852,none,0.0,0.0,0.11444706,0.0
Tabula Sapiens,400904,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.019564094,15.26081,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400912,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,8.080219,14.26856,none,0.0,0.0,0.0,0.0
Tabula Sapiens,400940,endothelial cell,endothelial cell,mammary gland,Mammary,,,,,11.930462,13.77211,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401025,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3978854,15.895564,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401079,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.2460707,15.867052,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401082,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3806891,15.919915,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401095,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.956578,14.123593,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401110,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4465754,15.978643,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401118,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.09958465,15.2823715,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401163,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4185865,15.923364,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401170,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.193807,15.777044,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401174,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.1581073,15.861147,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401304,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.5486712,15.836147,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401369,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.568674,16.084457,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401435,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.9870715,14.20071,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401442,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4858431,15.875765,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401487,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.500121,14.255732,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401490,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.2464892,15.970888,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401528,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.2085806,16.026264,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401555,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.14865719,15.276716,none,0.0,0.0,0.3816248,0.0
Tabula Sapiens,401590,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3512884,16.031551,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401611,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.074406534,15.228736,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401622,endothelial cell,endothelial cell,mammary gland,Mammary,,,,,11.165198,13.815442,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401660,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,14.403517,14.209252,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401666,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4104058,15.979347,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401686,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.278062,16.026518,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401729,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.4197884,14.279873,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401767,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.433881,15.948636,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401768,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.2966418,16.039425,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401773,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.353582,15.892044,none,0.55856776,0.0,0.0,0.0
Tabula Sapiens,401796,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.23282497,15.591065,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401925,basal cell,epithelial cell,mammary gland,Mammary,,,,,0.37855136,15.930136,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401927,"CD8-positive, alpha-beta T cell",t cell,mammary gland,Mammary,,,,,9.131955,19.845036,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401968,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.309879,15.961261,none,0.0,0.0,0.0,0.0
Tabula Sapiens,401981,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3110683,16.010054,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402038,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.43995345,15.749855,none,0.0,0.0,0.10205126,0.0
Tabula Sapiens,402041,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4554454,15.967866,none,0.0,0.0,0.39015725,0.0
Tabula Sapiens,402071,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.417726,15.785247,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402140,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.2139343,16.058107,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402142,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.33849108,15.758095,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402190,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4243153,15.969085,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402198,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.8339543,14.299282,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402211,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.4788154,15.810457,ADORA1,1.0272596,0.0,0.0,0.0
Tabula Sapiens,402217,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.5901936,15.762353,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402226,progenitor cell of mammary luminal epithelium,stem cell,mammary gland,Mammary,,,,,-1.3252068,16.085917,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402232,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,0.49486884,15.621417,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402252,luminal epithelial cell of mammary gland,duct epithelial cell,mammary gland,Mammary,,,,,-0.02849145,15.165995,none,0.0,0.0,0.0,0.0
Tabula Sapiens,402264,fibroblast of breast,fibroblast,mammary gland,Mammary,,,,,7.8267264,14.31539,none,0.0,0.0,0.0,0.0
