"atlas","method","panel","group","score","n_cells"
"hbca","UCell","full61","Miscellaneous",0.168496719079557,200
"hbca","UCell","full61","Splatter",0.164854395205839,200
"hbca","UCell","full61","Thalamic excitatory",0.174131923132721,200
"hbca","UCell","full61","Upper rhombic lip",0.137046892611233,200
"hbca","UCell","full61","Upper-layer intratelencephalic",0.196924695064112,200
"hbca","ssGSEA","full61","Amygdala excitatory",6.08461554156475,200
"hbca","ssGSEA","full61","Cerebellar inhibitory",5.92628997993346,200
"hbca","ssGSEA","full61","CGE interneuron",5.9460976981525,200
"hbca","ssGSEA","full61","Deep-layer corticothalamic and 6b",6.05594071093212,200
"hbca","ssGSEA","full61","Deep-layer intratelencephalic",6.02308086582973,200
"hbca","ssGSEA","full61","Deep-layer near-projecting",5.97901422797019,200
"hbca","ssGSEA","full61","Eccentric medium spiny neuron",6.04991324065398,200
"hbca","ssGSEA","full61","Hippocampal CA1-3",6.06445489023573,200
"hbca","ssGSEA","full61","Hippocampal CA4",5.99994741616994,200
"hbca","ssGSEA","full61","Hippocampal dentate gyrus",5.96722741978223,200
"hbca","ssGSEA","full61","LAMP5-LHX6 and Chandelier",6.02747924134875,200
"hbca","ssGSEA","full61","Lower rhombic lip",6.03247144283569,200
"hbca","ssGSEA","full61","Mammillary body",5.90755683637635,200
"hbca","ssGSEA","full61","Medium spiny neuron",5.89780325220101,200
"hbca","ssGSEA","full61","MGE interneuron",5.9905645705922,200
"hbca","ssGSEA","full61","Midbrain-derived inhibitory",5.99499287033927,200
"hbca","ssGSEA","full61","Miscellaneous",5.95670207785314,200
"hbca","ssGSEA","full61","Splatter",5.95771605056764,200
"hbca","ssGSEA","full61","Thalamic excitatory",6.00394070798815,200
"hbca","ssGSEA","full61","Upper rhombic lip",5.75917176348005,200
"hbca","ssGSEA","full61","Upper-layer intratelencephalic",6.06134783547136,200
"hbca","SCSE","full61","Amygdala excitatory",0.00924990224534875,200
"hbca","SCSE","full61","Cerebellar inhibitory",0.00888555291049702,200
"hbca","SCSE","full61","CGE interneuron",0.00892213429497004,200
"hbca","SCSE","full61","Deep-layer corticothalamic and 6b",0.00935951831364845,200
"hbca","SCSE","full61","Deep-layer intratelencephalic",0.00892040124339119,200
"hbca","SCSE","full61","Deep-layer near-projecting",0.00858079821006308,200
"hbca","SCSE","full61","Eccentric medium spiny neuron",0.00989739247391836,200
"hbca","SCSE","full61","Hippocampal CA1-3",0.00977432302746523,200
"hbca","SCSE","full61","Hippocampal CA4",0.00936957227993972,200
"hbca","SCSE","full61","Hippocampal dentate gyrus",0.00921744646953095,200
"hbca","SCSE","full61","LAMP5-LHX6 and Chandelier",0.00933005761109887,200
"hbca","SCSE","full61","Lower rhombic lip",0.00893720555954277,200
"hbca","SCSE","full61","Mammillary body",0.00754087593731526,200
"hbca","SCSE","full61","Medium spiny neuron",0.00848488675190377,200
"hbca","SCSE","full61","MGE interneuron",0.00919540504959697,200
"hbca","SCSE","full61","Midbrain-derived inhibitory",0.00995512393713495,200
"hbca","SCSE","full61","Miscellaneous",0.00903269677898994,200
"hbca","SCSE","full61","Splatter",0.00853861648784084,200
"hbca","SCSE","full61","Thalamic excitatory",0.00866241744183913,200
"hbca","SCSE","full61","Upper rhombic lip",0.00943488302679558,200
"hbca","SCSE","full61","Upper-layer intratelencephalic",0.00946089075140734,200
"hbca","JASMINE","full61","Amygdala excitatory",0.520865265187874,200
"hbca","JASMINE","full61","Cerebellar inhibitory",0.41644856044323,200
"hbca","JASMINE","full61","CGE interneuron",0.439087657932471,200
"hbca","JASMINE","full61","Deep-layer corticothalamic and 6b",0.504672975918195,200
"hbca","JASMINE","full61","Deep-layer intratelencephalic",0.489663518451968,200
"hbca","JASMINE","full61","Deep-layer near-projecting",0.456274420994935,200
"hbca","JASMINE","full61","Eccentric medium spiny neuron",0.495617322539757,200
"hbca","JASMINE","full61","Hippocampal CA1-3",0.529547409382549,200
"hbca","JASMINE","full61","Hippocampal CA4",0.494075268546168,200
