"atlas","method","panel","group","score","n_cells"
"tabula","AddModuleScore","full61","pancreatic ductal cell",0.0398783219252707,200
"tabula","AddModuleScore","full61","paneth cell of epithelium of small intestine",0.0196578387401572,200
"tabula","AddModuleScore","full61","pericyte",0.107093090576532,200
"tabula","AddModuleScore","full61","plasma cell",-0.0333833762807603,200
"tabula","AddModuleScore","full61","progenitor cell of mammary luminal epithelium",-0.0474019626803002,200
"tabula","AddModuleScore","full61","pulmonary alveolar type 1 cell",-0.0151455142899313,200
"tabula","AddModuleScore","full61","pulmonary alveolar type 2 cell",0.00652616412962456,200
"tabula","AddModuleScore","full61","regular atrial cardiac myocyte",2.03355667786589e-05,200
"tabula","AddModuleScore","full61","regulatory T cell",0.0219033841618966,200
"tabula","AddModuleScore","full61","respiratory tract goblet cell",-0.0240063658814638,200
"tabula","AddModuleScore","full61","retinal blood vessel endothelial cell",0.0416697504867242,200
"tabula","AddModuleScore","full61","salivary gland cell",-0.0226931997507912,200
"tabula","AddModuleScore","full61","skeletal muscle satellite stem cell",-0.039945237362108,200
"tabula","AddModuleScore","full61","small intestine goblet cell",0.0302735856675756,200
"tabula","AddModuleScore","full61","smooth muscle cell",0.0868656814388244,200
"tabula","AddModuleScore","full61","spermatid",0.0476002061338966,200
"tabula","AddModuleScore","full61","spermatocyte",0.0124185314734831,200
"tabula","AddModuleScore","full61","stratified squamous epithelial cell",-0.0437414966191858,200
"tabula","AddModuleScore","full61","stromal cell",0.00139231849602827,200
"tabula","AddModuleScore","full61","stromal cell of ovary",-0.0165433264590005,200
"tabula","AddModuleScore","full61","T cell",0.0634401244424398,200
"tabula","AddModuleScore","full61","theca cell",-0.00984097902999671,200
"tabula","AddModuleScore","full61","thymic fibroblast type 1",-0.000952332723298768,200
"tabula","AddModuleScore","full61","thymic fibroblast type 2",0.00567669322852599,200
"tabula","AddModuleScore","full61","tissue-resident macrophage",0.0669678336850462,200
"tabula","AddModuleScore","full61","vascular associated smooth muscle cell",0.0648573932146813,200
"tabula","AddModuleScore","full61","vein endothelial cell",0.0146249968628769,200
"tabula","AddModuleScore","full61","ventricular cardiac muscle cell",-0.00200086798653773,200
"tabula","scPS","minimal8","acinar cell",0.00400490819380778,200
"tabula","scPS","minimal8","acinar cell of salivary gland",0.00341579441880773,200
"tabula","scPS","minimal8","activated CD4-positive, alpha-beta T cell",0.00708543427332722,200
"tabula","scPS","minimal8","activated CD8-positive, alpha-beta T cell",0.0112281831622707,200
"tabula","scPS","minimal8","adventitial cell",0.00479747486447681,200
"tabula","scPS","minimal8","alveolar adventitial fibroblast",0.0147471231992651,200
"tabula","scPS","minimal8","B cell",0.00262701947856098,200
"tabula","scPS","minimal8","basal cell",0.0119746775751869,200
"tabula","scPS","minimal8","basal cell of prostate epithelium",0.0098338698948485,200
"tabula","scPS","minimal8","basophil",0.0117024772994659,200
"tabula","scPS","minimal8","BEST4+ enterocyte",0.0350656247418109,200
"tabula","scPS","minimal8","bladder urothelial cell",0.010100806853781,200
"tabula","scPS","minimal8","blood vessel smooth muscle cell",0.0233590957211268,200
"tabula","scPS","minimal8","capillary endothelial cell",0.0125010016456864,200
"tabula","scPS","minimal8","cardiac endothelial cell",0.0155551733281835,200
"tabula","scPS","minimal8","CD4-positive, alpha-beta T cell",0.00404741613365389,200
"tabula","scPS","minimal8","CD4-positive, alpha-beta thymocyte",0.00526760860009651,200
"tabula","scPS","minimal8","CD8-positive, alpha-beta T cell",0.00819729381838124,200
"tabula","scPS","minimal8","CD8-positive, alpha-beta thymocyte",0.00358260631343983,200
"tabula","scPS","minimal8","classical monocyte",0.00295412835696011,200
"tabula","scPS","minimal8","club cell",0.00625211435834319,200
"tabula","scPS","minimal8","conjunctival epithelial cell",0.0176133992133327,200
"tabula","scPS","minimal8","corneal epithelial cell",0.0217690739455139,200
"tabula","scPS","minimal8","duct epithelial cell",0.00517077482175913,200
"tabula","scPS","minimal8","endothelial cell",0.00954634979166475,200
"tabula","scPS","minimal8","endothelial cell of artery",0.00981998735219325,200
"tabula","scPS","minimal8","endothelial cell of lymphatic vessel",0.00829812825347569,200
"tabula","scPS","minimal8","endothelial cell of vascular tree",0.00354720898856998,200
"tabula","scPS","minimal8","enterocyte of epithelium of large intestine",0.00736582302245643,200
"tabula","scPS","minimal8","enterocyte of epithelium proper of duodenum",0.024045774100729,200
"tabula","scPS","minimal8","enterocyte of epithelium proper of ileum",0.0190615710115634,200
"tabula","scPS","minimal8","enterocyte of epithelium proper of small intestine",0.010719078868666,200
"tabula","scPS","minimal8","enteroglial cell",0.00323823165817857,200
"tabula","scPS","minimal8","epithelial cell",0.00620549119705264,200
"tabula","scPS","minimal8","epithelial cell of uterus",0.0169089411888317,200
"tabula","scPS","minimal8","erythrocyte",0.00100505416870589,200
"tabula","scPS","minimal8","erythroid progenitor cell",0.0079425778847019,200
"tabula","scPS","minimal8","eye photoreceptor cell",0.00656467670206225,200
"tabula","scPS","minimal8","fibroblast",0.0114289939569284,200
"tabula","scPS","minimal8","fibroblast of breast",0.00984596287521933,200
"tabula","scPS","minimal8","fibroblast of cardiac tissue",0.0197696335629555,200
"tabula","scPS","minimal8","gamma-delta T cell",0.0102244922393894,200
"tabula","scPS","minimal8","granulocyte",0.0108006105560688,200
"tabula","scPS","minimal8","hematopoietic precursor cell",0.00724768856196307,200
"tabula","scPS","minimal8","hematopoietic stem cell",0.0177513228311101,200
"tabula","scPS","minimal8","hepatocyte",0.0245184204301048,200
"tabula","scPS","minimal8","innate lymphoid cell",0.00592963436653247,200
"tabula","scPS","minimal8","intermediate monocyte",0.00143977010167419,200
"tabula","scPS","minimal8","intestinal crypt stem cell of colon",0.00625828329432012,200
"tabula","scPS","minimal8","intestinal crypt stem cell of small intestine",0.0212169306027929,200
"tabula","scPS","minimal8","intrahepatic cholangiocyte",0.0179107945901724,200
"tabula","scPS","minimal8","keratocyte",0.00651696236845823,200
"tabula","scPS","minimal8","kidney epithelial cell",0.00980709606577769,200
"tabula","scPS","minimal8","large intestine goblet cell",0.00875076368011224,200
"tabula","scPS","minimal8","luminal cell of prostate epithelium",0.00878386415874883,200
"tabula","scPS","minimal8","luminal epithelial cell of mammary gland",0.00507230520166801,200
"tabula","scPS","minimal8","lung multiciliated epithelial cell",0.0114465869680948,200
"tabula","scPS","minimal8","macrophage",0.00289298543134348,200
"tabula","scPS","minimal8","mast cell",0.0113874568663018,200
"tabula","scPS","minimal8","mature NK T cell",0.00390683574609131,200
"tabula","scPS","minimal8","mesenchymal stem cell",0.0130136224305174,200
"tabula","scPS","minimal8","mesenchymal stem cell of adipose tissue",0.00855313144645898,200
"tabula","scPS","minimal8","monocyte",0.00365686506423465,200
"tabula","scPS","minimal8","mononuclear phagocyte",0.00254761590137587,200
"tabula","scPS","minimal8","Mueller cell",0.0263498263752177,200
"tabula","scPS","minimal8","multiciliated columnar cell of tracheobronchial tree",0.0075538032410263,200
"tabula","scPS","minimal8","mural cell",0.0440326688513916,200
"tabula","scPS","minimal8","myeloid dendritic cell",0.00368731775909066,200
"tabula","scPS","minimal8","myeloid leukocyte",0.00442842051206746,200
"tabula","scPS","minimal8","myofibroblast cell",0.0289606688551228,200
"tabula","scPS","minimal8","myometrial cell",0.0160321958854749,200
"tabula","scPS","minimal8","naive thymus-derived CD4-positive, alpha-beta T cell",0.00564650575498021,200
"tabula","scPS","minimal8","naive thymus-derived CD8-positive, alpha-beta T cell",0.00843627351979173,200
"tabula","scPS","minimal8","natural killer cell",0.00534628118939518,200
"tabula","scPS","minimal8","neutrophil",0.00371156398005944,200
"tabula","scPS","minimal8","non-classical monocyte",0.00228001021688475,200
"tabula","scPS","minimal8","pancreatic acinar cell",0.004244716154678,200
"tabula","scPS","minimal8","pancreatic ductal cell",0.0215710695478175,200
"tabula","scPS","minimal8","paneth cell of epithelium of small intestine",0.0147594271810964,200
"tabula","scPS","minimal8","pericyte",0.0310828470172253,200
"tabula","scPS","minimal8","plasma cell",0.00129354852033747,200
"tabula","scPS","minimal8","progenitor cell of mammary luminal epithelium",0.00533171150534996,200
"tabula","scPS","minimal8","pulmonary alveolar type 1 cell",0.00334485951637879,200
"tabula","scPS","minimal8","pulmonary alveolar type 2 cell",0.00457852361740511,200
"tabula","scPS","minimal8","regular atrial cardiac myocyte",0.0149379888340438,200
"tabula","scPS","minimal8","regulatory T cell",0.00223621200101926,200
"tabula","scPS","minimal8","respiratory tract goblet cell",0.00745516077707646,200
"tabula","scPS","minimal8","retinal blood vessel endothelial cell",0.00759907590629122,200
"tabula","scPS","minimal8","salivary gland cell",0.00494700632674091,200
"tabula","scPS","minimal8","skeletal muscle satellite stem cell",0.00970965474479744,200
"tabula","scPS","minimal8","small intestine goblet cell",0.0158377124504062,200
"tabula","scPS","minimal8","smooth muscle cell",0.0341080661755451,200
"tabula","scPS","minimal8","spermatid",0.0140774270770659,200
"tabula","scPS","minimal8","spermatocyte",0.0392929837346505,200
"tabula","scPS","minimal8","stratified squamous epithelial cell",0.0122465367157798,200
"tabula","scPS","minimal8","stromal cell",0.00930783010918942,200
"tabula","scPS","minimal8","stromal cell of ovary",0.00983913691829221,200
"tabula","scPS","minimal8","T cell",0.0115702225048962,200
"tabula","scPS","minimal8","theca cell",0.0130016082268209,200
"tabula","scPS","minimal8","thymic fibroblast type 1",0.0072522479354711,200
"tabula","scPS","minimal8","thymic fibroblast type 2",0.00391888415449768,200
"tabula","scPS","minimal8","tissue-resident macrophage",0.00822310173363909,200
"tabula","scPS","minimal8","vascular associated smooth muscle cell",0.0193574441137618,200
"tabula","scPS","minimal8","vein endothelial cell",0.00813935470316418,200
"tabula","scPS","minimal8","ventricular cardiac muscle cell",0.0126455069423326,200
"tabula","scPS","full61","acinar cell",0.0159607845048011,200
"tabula","scPS","full61","acinar cell of salivary gland",0.0375587823202525,200
"tabula","scPS","full61","activated CD4-positive, alpha-beta T cell",0.0517403215663938,200
"tabula","scPS","full61","activated CD8-positive, alpha-beta T cell",0.057316566119484,200
"tabula","scPS","full61","adventitial cell",0.044205232384033,200
"tabula","scPS","full61","alveolar adventitial fibroblast",0.0561197724815719,200
"tabula","scPS","full61","B cell",0.0467716434080978,200
"tabula","scPS","full61","basal cell",0.0429519339237333,200
"tabula","scPS","full61","basal cell of prostate epithelium",0.0499716328723,200
"tabula","scPS","full61","basophil",0.0556417472881592,200
"tabula","scPS","full61","BEST4+ enterocyte",0.052061250221391,200
"tabula","scPS","full61","bladder urothelial cell",0.0494680777855316,200
"tabula","scPS","full61","blood vessel smooth muscle cell",0.0585364782615903,200
"tabula","scPS","full61","capillary endothelial cell",0.0580033049561898,200
"tabula","scPS","full61","cardiac endothelial cell",0.0613951661402588,200
"tabula","scPS","full61","CD4-positive, alpha-beta T cell",0.0498850457974588,200
"tabula","scPS","full61","CD4-positive, alpha-beta thymocyte",0.0506097136749954,200
"tabula","scPS","full61","CD8-positive, alpha-beta T cell",0.0592192316354976,200
"tabula","scPS","full61","CD8-positive, alpha-beta thymocyte",0.0513996607093348,200
"tabula","scPS","full61","classical monocyte",0.0717148162219861,200
"tabula","scPS","full61","club cell",0.0511936054827989,200
"tabula","scPS","full61","conjunctival epithelial cell",0.048964540064785,200
"tabula","scPS","full61","corneal epithelial cell",0.0470839901752612,200
"tabula","scPS","full61","duct epithelial cell",0.0534881666316018,200
"tabula","scPS","full61","endothelial cell",0.0585507008690183,200
"tabula","scPS","full61","endothelial cell of artery",0.0637025702116023,200
"tabula","scPS","full61","endothelial cell of lymphatic vessel",0.0561854340410676,200
"tabula","scPS","full61","endothelial cell of vascular tree",0.0391325050859136,200
"tabula","scPS","full61","enterocyte of epithelium of large intestine",0.0294312745247432,200
"tabula","scPS","full61","enterocyte of epithelium proper of duodenum",0.0477123571900773,200
"tabula","scPS","full61","enterocyte of epithelium proper of ileum",0.0521348734061374,200
"tabula","scPS","full61","enterocyte of epithelium proper of small intestine",0.0277476912065569,200
"tabula","scPS","full61","enteroglial cell",0.051651206278774,200
"tabula","scPS","full61","epithelial cell",0.0427176933868146,200
"tabula","scPS","full61","epithelial cell of uterus",0.0479413059375948,200
"tabula","scPS","full61","erythrocyte",0.00724380333796676,200
"tabula","scPS","full61","erythroid progenitor cell",0.0453346139913167,200
"tabula","scPS","full61","eye photoreceptor cell",0.0419989436487814,200
