dataset,source_label,group,group_normalized,gene,n_cells,pct_expressing,mean_expression
HBCA non-neuronal,roi,Human BM,human bm,ADORA1,4806,20.266333749479816,0.2636288106441498
HBCA non-neuronal,roi,Human BM,human bm,ADORA2A,4806,0.8114856429463172,0.008531003259122372
HBCA non-neuronal,roi,Human BM,human bm,ADORA2B,4806,4.20307948397836,0.051602162420749664
HBCA non-neuronal,roi,Human BM,human bm,ADORA3,4806,0.0,0.0
HBCA non-neuronal,roi,Human BNST,human bnst,ADORA1,3656,15.289934354485776,0.18490153551101685
HBCA non-neuronal,roi,Human BNST,human bnst,ADORA2A,3656,0.5470459518599562,0.005470459349453449
HBCA non-neuronal,roi,Human BNST,human bnst,ADORA2B,3656,1.449671772428884,0.015864333137869835
HBCA non-neuronal,roi,Human BNST,human bnst,ADORA3,3656,0.0,0.0
HBCA non-neuronal,roi,Human CA1-3,human ca1-3,ADORA1,814,18.42751842751843,0.2506142556667328
HBCA non-neuronal,roi,Human CA1-3,human ca1-3,ADORA2A,814,0.85995085995086,0.008599508553743362
HBCA non-neuronal,roi,Human CA1-3,human ca1-3,ADORA2B,814,4.176904176904177,0.052825551480054855
HBCA non-neuronal,roi,Human CA1-3,human ca1-3,ADORA3,814,0.0,0.0
HBCA non-neuronal,roi,Human CA1C-CA3C,human ca1c-ca3c,ADORA1,4448,13.534172661870503,0.15962229669094086
HBCA non-neuronal,roi,Human CA1C-CA3C,human ca1c-ca3c,ADORA2A,4448,0.5845323741007195,0.006070144008845091
HBCA non-neuronal,roi,Human CA1C-CA3C,human ca1c-ca3c,ADORA2B,4448,2.922661870503597,0.033048562705516815
HBCA non-neuronal,roi,Human CA1C-CA3C,human ca1c-ca3c,ADORA3,4448,0.02248201438848921,0.00022482014901470393
HBCA non-neuronal,roi,Human CA1R-CA2R,human ca1r-ca2r,ADORA1,1569,26.704907584448694,0.35882729291915894
HBCA non-neuronal,roi,Human CA1R-CA2R,human ca1r-ca2r,ADORA2A,1569,0.8922880815806247,0.009560229256749153
HBCA non-neuronal,roi,Human CA1R-CA2R,human ca1r-ca2r,ADORA2B,1569,3.696622052262587,0.045889101922512054
HBCA non-neuronal,roi,Human CA1R-CA2R,human ca1r-ca2r,ADORA3,1569,0.12746972594008923,0.0012746972497552633
HBCA non-neuronal,roi,Human CA1R-CA2R-CA3R,human ca1r-ca2r-ca3r,ADORA1,7010,11.01283880171184,0.12667617201805115
HBCA non-neuronal,roi,Human CA1R-CA2R-CA3R,human ca1r-ca2r-ca3r,ADORA2A,7010,0.42796005706134094,0.004279600456357002
HBCA non-neuronal,roi,Human CA1R-CA2R-CA3R,human ca1r-ca2r-ca3r,ADORA2B,7010,2.596291012838802,0.03038516454398632
HBCA non-neuronal,roi,Human CA1R-CA2R-CA3R,human ca1r-ca2r-ca3r,ADORA3,7010,0.014265335235378032,0.00014265335630625486
HBCA non-neuronal,roi,Human CA1U,human ca1u,ADORA1,24394,19.32032467000082,0.24157579243183136
HBCA non-neuronal,roi,Human CA1U,human ca1u,ADORA2A,24394,0.6517996228580798,0.0068869395181536674
HBCA non-neuronal,roi,Human CA1U,human ca1u,ADORA2B,24394,4.078871853734524,0.04751168191432953
HBCA non-neuronal,roi,Human CA1U,human ca1u,ADORA3,24394,0.01639747478888251,0.00016397474973928183
HBCA non-neuronal,roi,Human CA1U-CA2U-CA3U,human ca1u-ca2u-ca3u,ADORA1,5917,7.250295757985466,0.0816292017698288
HBCA non-neuronal,roi,Human CA1U-CA2U-CA3U,human ca1u-ca2u-ca3u,ADORA2A,5917,0.1521041068108839,0.0016900455811992288
HBCA non-neuronal,roi,Human CA1U-CA2U-CA3U,human ca1u-ca2u-ca3u,ADORA2B,5917,1.5717424370458002,0.01740746945142746
HBCA non-neuronal,roi,Human CA1U-CA2U-CA3U,human ca1u-ca2u-ca3u,ADORA3,5917,0.01690045631232043,0.00016900456103030592
HBCA non-neuronal,roi,Human CA2U-CA3U,human ca2u-ca3u,ADORA1,1185,13.755274261603375,0.17468354105949402
HBCA non-neuronal,roi,Human CA2U-CA3U,human ca2u-ca3u,ADORA2A,1185,1.2658227848101267,0.012658228166401386
HBCA non-neuronal,roi,Human CA2U-CA3U,human ca2u-ca3u,ADORA2B,1185,2.447257383966245,0.03291139379143715
