atlas,group,n_cells,receptor,Gi_alpha,adenylyl_cyclase,PKA,cAMP_downstream_CREB,Gbg_GIRK,Gbg_Ca_channels,PLC_PKC_Ca,NFkB,PI3K_MAPK,NO_cGMP,combined
Tabula Sapiens,endothelial cell,33703,-0.001066991683062865,0.09609296342099938,0.0030799589175753636,-0.07751029454383374,-0.3566902066700409,-0.0024883588579272323,0.0016811367216171928,0.1586129730477568,0.13827931829946627,-0.04613472392942325,-0.03933045438068511,-0.011406789059778015
Tabula Sapiens,interstitial cell of Cajal,71,-0.0009613717945528701,-0.09336690371698347,-0.00940340068978323,0.08907434159601238,-0.4936851424230656,-0.008665876846078415,0.011560809990050089,-0.06352620302225587,0.13258533989879445,-0.04158135259436163,0.34620602856459515,-0.011978521003420823
Tabula Sapiens,erythroid lineage cell,2,-0.00041703707538545134,-0.09792473474871131,-0.0008289972669444978,-0.018940881612555433,-0.016349888406693935,-0.0003871732042171061,0.007438239362090826,0.04971885706163676,-0.012463151745032519,-0.048219180753621325,-0.003127046232111752,-0.012863726783776886
Tabula Sapiens,fibroblast of breast,5270,0.01008434344209537,-0.16860738490142035,-0.006223780382850239,-0.02262694072932775,-0.40134198747957006,-0.008223845080589718,0.015018486126432716,-0.07496251364048001,0.49055590760606066,-0.03163791558931478,0.05474825798073654,-0.01301976114983887
Tabula Sapiens,endothelial cell of lymphatic vessel,2438,-0.0027392821792573104,0.10222563647200533,-0.0009160516636715008,-0.07419016758104907,-0.38210980240882075,-0.008851054599961555,4.924752604246012e-05,0.1139748012922897,0.08993831792750051,-0.05710169784264724,0.07539526936846354,-0.013120434880827809
Tabula Sapiens,leukocyte,201,0.004656882992185726,-0.036748887520484996,-0.002898675493463938,0.0018705385318566609,-0.2259142436791416,0.0020315592882002758,0.01633625610593118,0.13252480581383733,0.040406607070344686,-0.04754332788903082,-0.03998290150562105,-0.014114671480489688
Tabula Sapiens,"activated CD8-positive, alpha-beta T cell",1147,-0.0021509575448871807,-0.00606347912662647,-0.022359677468797592,0.09281725608498786,-0.4157669874202093,-0.002331598189439373,0.010145947381321409,0.15831347339140422,0.15494324967408035,-0.019235231512120254,-0.10525596023918031,-0.014267633179042423
Tabula Sapiens,endothelial cell of venule,52,-0.005229402534090555,0.11475189558539567,-0.0007155473988789789,-0.07504266350625605,-0.38981473187987614,-0.0026343269573632045,-0.007665643368202904,0.14187510702877626,0.09532988573460344,-0.06990856449512883,0.011857935794690577,-0.017017823272393703
Tabula Sapiens,plasmacytoid dendritic cell,99,0.005645470014500498,0.00776802542880306,-0.01775505049401104,-0.04296401008173373,-0.27210583035090974,-0.008955166433970773,0.01150413863907681,0.14057982885130593,0.11890941682092915,-0.06656439634598799,-0.07533100167145577,-0.0181153250566776
Tabula Sapiens,myometrial cell,917,-0.007392942525990787,-0.11770582571651417,0.03382690216992518,-0.05017357576612724,-0.6120556203203608,-0.009544317675358334,-0.012714195838898844,0.23229886896587726,0.13307594805143397,-0.0030105301166002407,0.2063870108920125,-0.018818934352781955
Tabula Sapiens,glial cell,20,0.06477773815393448,-0.05552974424643231,0.07892039529979228,0.02940364017927405,-0.5415653873980046,0.021252412495668976,-0.018801334127783776,0.3713532583551906,-0.030797540401108603,-0.049442879808347384,-0.08014560107407825,-0.019143185688354047
Tabula Sapiens,oocyte,18,0.010167105671846203,0.0625116097172343,0.11439465624599607,0.09522021097407024,-0.4691852524462673,0.05674007731205267,0.042596045231200856,0.19661000997424494,-0.19132013815429266,-0.09108047159022958,-0.0391981453886108,-0.019322208404795913
Tabula Sapiens,fibroblast of cardiac tissue,1947,-0.0009684119078904214,-0.1162356953059272,0.017458291292053868,0.004615793188122219,-0.45440713860282067,-0.028893713140743602,0.00799817082292291,0.04064459035448059,-0.1162939827236752,0.07007386488009015,0.3454292330184321,-0.020961727102268665
Tabula Sapiens,enterocyte of epithelium proper of jejunum,405,-0.005261795829843592,-0.14980949689902673,-0.0009780853342862758,-0.14216556270426675,-0.23007619832768855,0.16131773708411204,-0.015189792495450856,0.19412431411890013,-0.04959310653033083,-0.05599335894739205,0.05399372594539452,-0.021784692719989004
Tabula Sapiens,Schwann cell,318,-0.00318753764197324,0.021035430218139806,0.002461543099494555,0.027547654446422043,-0.28988700602279577,-0.03410978145992937,0.028743963928146578,0.030639988171658306,-0.08641055685389953,-0.022930947125501755,0.08626727941578322,-0.021802724529495922
Tabula Sapiens,"naive thymus-derived CD4-positive, alpha-beta T cell",9827,-0.003284399062956145,-0.024282816959025066,-0.020006191986504582,-0.04406952734895536,-0.2579599914830274,-0.0051734320592737035,-0.005737165970792201,0.1393813231292083,0.11008627963985612,-0.03239200212282828,-0.09904636911835323,-0.02204402666751378
Tabula Sapiens,retinal blood vessel endothelial cell,2091,-6.23407776039692e-05,0.036981486821705434,0.003900828433687685,-0.12448971306867523,-0.3404157731535414,-0.006670985360849347,-0.000598534545996194,0.20390158739591152,0.05545783687858624,-0.03266405214949969,-0.037834706805614515,-0.02204494239380813
Tabula Sapiens,adipocyte,39,-0.005831373031012331,-0.1178959104396023,-0.006717606050033985,0.017053802832204895,-0.1684733413732969,0.01695245156655661,0.035888707971137655,0.130796105433016,-0.09243709542572152,-0.054677537864596656,0.000822069836889601,-0.022229066049496263
Tabula Sapiens,enterocyte of epithelium proper of small intestine,1415,-0.006001599282552834,-0.12183346606172166,-0.005982050812595889,-0.07848820844566444,-0.13848595634787325,0.03796198398995381,0.010700732048604208,0.14059971423214307,-0.03986672435692992,-0.04924099313245861,-0.0022134707900872963,-0.022986367178107526
