dataset,field,label,n_cells,pct_cells
tabula_sapiens,cell_type,pancreatic ductal cell,2721,0.23947869158911406
tabula_sapiens,cell_type,regulatory T cell,2649,0.23314187946327203
tabula_sapiens,cell_type,ventricular cardiac muscle cell,2599,0.22874131548699278
tabula_sapiens,cell_type,endothelial cell of lymphatic vessel,2438,0.21457149948337378
tabula_sapiens,cell_type,hematopoietic precursor cell,2140,0.18834413818474977
tabula_sapiens,cell_type,retinal blood vessel endothelial cell,2091,0.18403158548799614
tabula_sapiens,cell_type,small intestine goblet cell,2044,0.1798950553502937
tabula_sapiens,cell_type,gamma-delta T cell,1977,0.17399829962207958
tabula_sapiens,cell_type,BEST4+ enterocyte,1970,0.1733822206654005
tabula_sapiens,cell_type,fibroblast of cardiac tissue,1947,0.17135796123631206
tabula_sapiens,cell_type,paneth cell of epithelium of small intestine,1853,0.16308490096090716
tabula_sapiens,cell_type,club cell,1747,0.15375570533119526
tabula_sapiens,cell_type,intestinal crypt stem cell of colon,1732,0.15243553613831148
tabula_sapiens,cell_type,progenitor cell of mammary luminal epithelium,1694,0.1490911075163393
tabula_sapiens,cell_type,epithelial cell,1675,0.1474188932053532
tabula_sapiens,cell_type,basophil,1669,0.1468908255281997
tabula_sapiens,cell_type,large intestine goblet cell,1557,0.13703356222133428
tabula_sapiens,cell_type,eye photoreceptor cell,1536,0.13518532535129701
tabula_sapiens,cell_type,epithelial cell of uterus,1417,0.12471198308775253
tabula_sapiens,cell_type,enterocyte of epithelium proper of small intestine,1415,0.12453596052870136
tabula_sapiens,cell_type,tissue-resident macrophage,1355,0.11925528375716632
tabula_sapiens,cell_type,acinar cell,1345,0.11837517096191048
tabula_sapiens,cell_type,non-classical monocyte,1284,0.11300648291084985
tabula_sapiens,cell_type,lung multiciliated epithelial cell,1209,0.10640563694643106
tabula_sapiens,cell_type,"activated CD8-positive, alpha-beta T cell",1147,0.10094893761584485
tabula_sapiens,cell_type,alveolar adventitial fibroblast,1113,0.09795655411197499
tabula_sapiens,cell_type,"naive thymus-derived CD8-positive, alpha-beta T cell",1056,0.0929399111790167
tabula_sapiens,cell_type,adventitial cell,1045,0.09197178710423527
tabula_sapiens,cell_type,respiratory tract goblet cell,1040,0.09153173070660735
tabula_sapiens,cell_type,theca cell,1038,0.0913557081475562
tabula_sapiens,cell_type,myeloid leukocyte,1002,0.08818730208463517
tabula_sapiens,cell_type,keratocyte,1001,0.08809929080510959
tabula_sapiens,cell_type,enteroglial cell,990,0.08713116673032816
tabula_sapiens,cell_type,erythroid progenitor cell,971,0.08545895241934207
tabula_sapiens,cell_type,innate lymphoid cell,971,0.08545895241934207
tabula_sapiens,cell_type,myometrial cell,917,0.08070634332496053
tabula_sapiens,cell_type,endothelial cell of vascular tree,875,0.077009869584886
tabula_sapiens,cell_type,hematopoietic stem cell,858,0.07551367783295107
tabula_sapiens,cell_type,salivary gland cell,850,0.0748095875967464
tabula_sapiens,cell_type,granulocyte,769,0.0676806739551741
tabula_sapiens,cell_type,"CD8-positive, alpha-beta thymocyte",731,0.0643362453332019
tabula_sapiens,cell_type,multiciliated columnar cell of tracheobronchial tree,713,0.06275204230174139
tabula_sapiens,cell_type,intrahepatic cholangiocyte,665,0.05852750088451336
tabula_sapiens,cell_type,mural cell,618,0.054390970746810915
tabula_sapiens,cell_type,intestinal crypt stem cell of small intestine,587,0.05166262108151781
