"barcode","group","AddModuleScore__minimal8","AddModuleScore__full61","scPS__minimal8","scPS__full61","AUCell__minimal8","AUCell__full61","JASMINE__minimal8","JASMINE__full61","ssGSEA__minimal8","ssGSEA__full61","UCell__minimal8","UCell__full61","SCSE__minimal8","SCSE__full61"
"cell_16781","CD4-positive, alpha-beta thymocyte",-0.0598998633919995,0.0119754727692303,0,0.0464176275431858,0,0.167803278688525,0,0.474121328149217,20043.27071438,23379.5867402015,0,0.105106629914406,0,0.549581197850491
"cell_16782","CD4-positive, alpha-beta thymocyte",-0.0346128330709538,0.0299729090959767,0,0.0433347514338931,0,0.160950819672131,0,0.459567050465974,20376.9397587379,23562.035839094,0,0.0702440603064425,0,0.606932051903965
"cell_16783","CD4-positive, alpha-beta thymocyte",-0.0260742043571267,0.0440839946712718,0,0.0509587760327451,0,0.165289617486339,0,0.467764474156137,20241.2968538566,23622.6418882668,0,0.0952080706179067,0,0.638773469536654
"cell_16784","naive thymus-derived CD4-positive, alpha-beta T cell",0.0392707290872174,-0.0178741138676843,0.0210468146570619,0.0476155496699796,0.0677763092681315,0.139546448087432,0.190016283475745,0.407493162468299,20535.3621160493,23169.616953175,0,0.0687319354082737,0.0209668786311743,0.496682843306617
"cell_16785","CD4-positive, alpha-beta thymocyte",-0.0412400322048761,0.0368383147808672,0,0.0520375272250363,0,0.14055737704918,0,0.415898159796358,20397.1924320935,23545.5567082579,0,0.0553460031916437,0,0.59159788547714
"cell_16786","CD4-positive, alpha-beta thymocyte",-0.0395051169201625,0.0244039920374691,0,0.0510069996257986,0,0.143300546448087,0,0.430085589085549,19879.3740800026,23485.0642456831,0,0.0883449207110892,0,0.586454840613992
"cell_16787","CD4-positive, alpha-beta thymocyte",-0.038260245643007,-0.0306639253723467,0,0.036392372358676,0,0.119229508196721,0,0.411376247035083,20176.1632562131,23223.7657685967,0,0.0681181577743307,0,0.453824368066998
"cell_16788","CD4-positive, alpha-beta thymocyte",0.0644558850117074,0.0755652176336071,0.0250814481269586,0.0572317350896484,0.071452172476458,0.202437158469945,0.219972813622343,0.501488965136368,20888.0368307858,24211.1121099068,0,0.0876920845004409,0.0290484171224781,0.695339944110194
"cell_16789","CD4-positive, alpha-beta thymocyte",-0.0498401872486218,0.0273647861741108,0,0.0504658402930857,0,0.150098360655738,0,0.451932065271216,20283.8024646028,23368.5455126008,0,0.0847626912475309,0,0.591876288019212
"cell_16790","naive thymus-derived CD8-positive, alpha-beta T cell",-0.0452790115569402,0.0407120195956754,0,0.0523975893431957,0,0.178890710382514,0,0.465608441576199,20009.891308294,23926.5622138574,0,0.0788927451483667,0,0.610282513470477
"cell_16791","CD4-positive, alpha-beta thymocyte",-0.0515282864287121,0.0521141564301542,0,0.0533803344584628,0,0.165846994535519,0,0.480497048032006,20057.397579128,23543.5040902374,0,0.109085024941691,0,0.622322785360476
"cell_16792","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0552808361882736,0.0647668673505581,0,0.0617905432241054,0,0.205185792349727,0,0.511147917987565,19423.8139460048,23941.3538605962,0,0.108264794830876,0,0.641938454564366
"cell_16793","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0394706403068082,-0.051150913102117,0,0.041100380000698,0,0.109251366120219,0,0.39724744073955,20154.0353353246,22940.9791367616,0,0.0651887645214209,0,0.445381622531554
"cell_16794","CD4-positive, alpha-beta thymocyte",-0.0533879212185427,0.0809110741030267,0,0.0595146135278122,0,0.173136612021858,0,0.482306590770977,19727.6040463382,23520.7449440467,0,0.115206061891105,0,0.678920396967764
"cell_16795","CD4-positive, alpha-beta thymocyte",-0.050971189171101,0.0768741576165481,0,0.0614464859219466,0,0.164945355191257,0,0.487799029027499,19917.2540801677,23898.224363402,0,0.109603946032207,0,0.679562566089056
"cell_16796","CD4-positive, alpha-beta thymocyte",-0.0493375619584023,-0.00103037337020653,0,0.0431571014918614,0,0.136535519125683,0,0.420250571166726,20110.654609063,23238.7496134617,0,0.0764487942059391,0,0.521505335725905
"cell_16797","naive thymus-derived CD8-positive, alpha-beta T cell",-0.0577605915612784,0.115724556211356,0,0.0699404270519038,0,0.215224043715847,0,0.522763200631933,19337.927608997,23934.4234088204,0,0.128954680891428,0,0.703315216880636
"cell_16798","CD4-positive, alpha-beta thymocyte",0.021968368496952,0.0757729743743579,0.0184803829580535,0.0608551421609091,0.00421278704774492,0.182027322404372,0.191959122334195,0.516538412078098,20814.8704139005,23788.7901851799,0,0.115021928600922,0.0196175849516204,0.670326812237948
"cell_16799","CD4-positive, alpha-beta T cell",-0.0417468022088178,0.0833424386453724,0,0.0612964028709173,0,0.186109289617486,0,0.538272145900415,19835.8683372389,23051.4032287335,0,0.145772188061467,0,0.660795649084669
"cell_16800","naive thymus-derived CD4-positive, alpha-beta T cell",0.0345821150332008,0.082740448382187,0.020402291006688,0.0588505048342705,0.00479101272096481,0.175344262295082,0.203762227185824,0.51106394561936,21173.3118955302,23724.4931728836,0,0.105742726735038,0.0225527279832783,0.687811458292021
"cell_16801","plasma cell",-0.0480458207303675,-0.0662574739325205,0,0.0323783620895469,0,0.110786885245902,0,0.382943326054063,19607.0881382224,22649.6052440177,0,0.0641341829503733,0,0.380200022422499
"cell_16802","naive thymus-derived CD8-positive, alpha-beta T cell",-0.0585785597710777,0.0426426756423642,0,0.0570742778279577,0,0.174486338797814,0,0.473383610757789,19926.8803508367,23405.6723985885,0,0.106217009452176,0,0.603402448449982
"cell_16803","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0473732580181008,-0.0306716044180447,0,0.0372991473088621,0,0.111273224043716,0,0.389180229952949,20213.9182398759,23226.8278477705,0,0.0540068519903135,0,0.486030497694734
"cell_16804","CD4-positive, alpha-beta thymocyte",-0.0444811253531751,-0.0344131265472037,0,0.0375054194723781,0,0.0969508196721311,0,0.410202194610068,20285.4276791313,22946.8912105045,0,0.0645638272941333,0,0.457468788212638
"cell_16805","CD4-positive, alpha-beta thymocyte",-0.0477886313789284,0.0499681999076361,0,0.0539462428154719,0,0.161836065573771,0,0.477481619252758,20320.6823327503,23747.4951664178,0,0.095805108861833,0,0.621138746151194
"cell_16806","CD4-positive, alpha-beta thymocyte",-0.0401437035330949,0.0490688516558028,0,0.0549313163546608,0,0.154754098360656,0,0.467439387360426,20114.530120631,23519.2670624026,0,0.0968764298228972,0,0.622208025337214
"cell_16807","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0479094370862442,0.0838673689726684,0,0.0644946779551369,0,0.197081967213115,0,0.515828266594345,19735.3550694742,24285.4690029662,0,0.105435837918066,0,0.701764311835056
"cell_16808","naive thymus-derived CD4-positive, alpha-beta T cell",0.054067340196371,0.0195136286705021,0.026234341689404,0.0465519923330597,0.0761192796960185,0.149841530054645,0.224236233351906,0.414013624969436,20949.2096518968,23633.2874802575,0,0.0409612873706882,0.031184303291637,0.572110758931095
"cell_16809","CD4-positive, alpha-beta thymocyte",-0.0379081580832072,0.0499199293592234,0,0.0521708623260917,0,0.162628415300546,0,0.484947240964726,20321.0573822568,23646.5469447091,0,0.10122867122722,0,0.645393960036914
"cell_16810","CD4-positive, alpha-beta thymocyte",-0.049213904546718,0.0385870132773617,0,0.0484219586018101,0,0.152049180327869,0,0.459729105360136,20312.9313096142,23625.1646915885,0,0.0784352018212456,0,0.60901950866478
"cell_16811","CD4-positive, alpha-beta thymocyte",0.0478898590366242,-0.0323409186590632,0.0196519518632244,0.0359142047466311,0.0843796464563027,0.128229508196721,0.214516971307214,0.405908869860325,21192.9186884807,22979.7878891828,0,0.0659866754455468,0.0257984127782102,0.477136434798112
"cell_16812","CD4-positive, alpha-beta thymocyte",-0.0337283433665111,-0.0114329760138851,0,0.0409216105154133,0,0.127551912568306,0,0.418297806189988,20366.6884055579,23068.1484986344,0,0.0665837136894731,0,0.519933079889336
"cell_16813","CD4-positive, alpha-beta thymocyte",-0.0540363629560427,-0.000594312537064323,0,0.0459815490088734,0,0.151622950819672,0,0.444718859042367,20087.6515726592,23402.987696872,0,0.0844837014139205,0,0.526990141948982
"cell_16814","CD4-positive, alpha-beta thymocyte",0.0263324355501279,0.0484902154914972,0.0205013365927376,0.0576781210983746,0.0248637039484553,0.162830601092896,0.191158743770002,0.453740162744552,21163.3962920545,23846.0288078962,0,0.0886350701380442,0.0213370541698218,0.637262147005088
"cell_16815","CD4-positive, alpha-beta thymocyte",-0.0491855295296607,0.0717549063582768,0,0.0565428227007983,0.00982983644473815,0.178087431693989,0,0.472659013877925,20293.4287352718,23820.5157276144,0,0.0853039315247353,0,0.687486074176303
"cell_16816","CD4-positive, alpha-beta thymocyte",-0.0394455477119103,0.0371471133718312,0,0.0489846753003247,0,0.160836065573771,0,0.461897965830131,20105.2788994686,23504.6146296446,0,0.0908335100268947,0,0.602283978526215
"cell_16817","CD8-positive, alpha-beta T cell",-0.0351069728044232,0.115508681672804,0,0.0640138829164436,0,0.204803278688525,0,0.518442248026713,20160.4111769365,24201.784142795,0,0.0978473144438616,0,0.756093261861154
"cell_16818","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0475513892249247,-0.0250910525691352,0,0.038643567919397,0,0.120792349726776,0,0.367162918812277,20460.5757987062,23295.5524239098,0,0.0328315236192793,0,0.48136694885752
