collection,organism,gene,n_expressing,total,group,n_cells,pct_expressing,mean_all,mean_expressing
census_spatial_sequencing,homo_sapiens,KCNJ6,22,23.0,intestine,9984,0.2203525641025641,0.0023036858974358975,1.0454545454545454
census_spatial_sequencing,homo_sapiens,KCNJ6,389,432.0,lymph node,246056,0.1580940924017297,0.0017556978899112398,1.1105398457583548
census_spatial_sequencing,homo_sapiens,KCNJ6,305,330.0,lung,275274,0.11079869511831847,0.0011988055537391835,1.0819672131147542
census_spatial_sequencing,homo_sapiens,KCNJ6,76,76.0,colon,69888,0.10874542124542125,0.0010874542124542125,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,896,968.0,kidney,1037593,0.08635370516185055,0.0009329284218378497,1.0803571428571428
census_spatial_sequencing,homo_sapiens,KCNJ6,6,6.0,small intestine,9984,0.06009615384615385,0.0006009615384615385,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,67,70.0,endocrine gland,154752,0.043295078577336644,0.00045233664185277087,1.044776119402985
census_spatial_sequencing,homo_sapiens,KCNJ6,26,26.0,respiratory system,59904,0.043402777777777776,0.00043402777777777775,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,60,62.0,liver,158148,0.03793914561044085,0.0003920378379745555,1.0333333333333334
census_spatial_sequencing,homo_sapiens,KCNJ6,10,10.0,immune system,26917,0.03715124270906862,0.00037151242709068617,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,7,7.0,spleen,19968,0.035056089743589744,0.00035056089743589744,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,23,23.0,axilla,66262,0.03471069391204612,0.0003471069391204612,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,2,2.0,vasculature,6142,0.0325626831650928,0.00032562683165092806,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,106,115.0,heart,362184,0.029266891966514257,0.0003175181675612396,1.0849056603773586
census_spatial_sequencing,homo_sapiens,KCNJ6,18,18.0,skin of body,124800,0.014423076923076924,0.00014423076923076924,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,2,2.0,inguinal part of abdomen,14976,0.013354700854700854,0.00013354700854700856,1.0
census_spatial_sequencing,homo_sapiens,KCNJ6,11,11.0,exocrine gland,119808,0.009181356837606838,9.181356837606838e-05,1.0
