dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,1063655,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.441128,11.732443,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063662,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,5.635281,12.751274,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063664,stratified squamous epithelial cell,stratified epithelial cell,posterior part of tongue,Tongue,,,,,7.995442,12.670941,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063673,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.802823,14.59146,ADORA1,1.3106434,0.0,0.0,0.0
Tabula Sapiens,1063675,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.712198,10.672821,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063689,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.217834,11.665634,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063701,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.242121,11.006356,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063717,basal cell,epithelial cell,posterior part of tongue,Tongue,,,,,7.940607,12.68263,none,0.0,0.0,0.47585183,0.0
Tabula Sapiens,1063720,basal cell,epithelial cell,posterior part of tongue,Tongue,,,,,7.7352977,13.095848,none,0.0,0.0,0.5045585,0.0
Tabula Sapiens,1063730,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.64788884,13.676335,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063749,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.332004,11.171442,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063775,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.532368,10.897275,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063792,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.020828,11.653362,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063813,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.613054,14.80264,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063826,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.761853,14.785687,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063852,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.710139,10.906741,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063856,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.340057,11.033032,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063869,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.471688,10.960333,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063888,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.6505528,13.628109,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063897,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.8188367,13.463032,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063905,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,7.605971,11.319205,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063908,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.432456,11.139347,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063912,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.369671,10.9208765,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063917,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.302973,11.766995,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063930,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.356404,11.007596,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063942,basal cell,epithelial cell,posterior part of tongue,Tongue,,,,,8.548098,11.480275,ADORA2B,0.0,0.0,0.7908431,0.0
Tabula Sapiens,1063946,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.382187,10.944789,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063951,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.2138968,11.666758,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063966,myeloid dendritic cell,dendritic cell,posterior part of tongue,Tongue,,,,,18.296114,15.767934,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063974,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.200925,11.666678,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063980,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.474936,11.155521,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063983,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.7372434,13.549279,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1063992,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.37561,11.111518,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064000,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.8741789,13.655904,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064008,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.496854,10.874971,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064021,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,8.660921,11.3264885,none,0.0,0.0,0.37486398,0.0
Tabula Sapiens,1064023,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.340807,11.626306,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064041,Schwann cell,glial cell,posterior part of tongue,Tongue,,,,,5.370492,12.453898,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064042,tongue muscle cell,contractile cell,posterior part of tongue,Tongue,,,,,5.7235775,14.844758,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064049,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.2477603,11.740318,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064056,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.7765744,13.643404,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064065,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.585687,10.826839,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064071,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,9.721951,17.136276,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064072,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,0.71919334,14.186034,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064080,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,1.786845,12.856154,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064087,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.152274,10.955133,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064103,mural cell,contractile cell,posterior part of tongue,Tongue,,,,,1.6732326,12.849767,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064106,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.4651775,11.886547,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064143,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.191648,11.074941,none,0.08245159,0.0,0.0,0.0
Tabula Sapiens,1064164,myoepithelial cell,meso-epithelial cell,posterior part of tongue,Tongue,,,,,7.2620926,11.690847,none,0.0,0.0,0.0,0.0
Tabula Sapiens,1064167,salivary gland cell,glandular epithelial cell,posterior part of tongue,Tongue,,,,,8.507872,11.012652,none,0.0,0.0,0.0,0.0
